Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 03:25:28,2018-05-22 03:26:06,"38,002s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 03:25:28,2018-05-22 03:25:35,"7,102s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:28,2018-05-22 03:25:31,"2,718s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:25:31,2018-05-22 03:25:32,"1,164s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:25:32,2018-05-22 03:25:33,"1,007s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:33,2018-05-22 03:25:33,"0,212s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:33,2018-05-22 03:25:33,"0,077s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:25:33,2018-05-22 03:25:34,"0,096s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,055s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,080s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,052s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,075s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,061s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:34,"0,562s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:34,2018-05-22 03:25:35,"0,720s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 03:25:35,2018-05-22 03:25:40,"4,666s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:35,2018-05-22 03:25:37,"1,996s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:25:37,2018-05-22 03:25:38,"1,143s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:25:38,2018-05-22 03:25:39,"0,513s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:39,2018-05-22 03:25:39,"0,156s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:39,2018-05-22 03:25:40,"0,713s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 03:25:40,2018-05-22 03:25:45,"5,454s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:40,2018-05-22 03:25:42,"2,053s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:25:42,2018-05-22 03:25:43,"1,150s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:25:43,2018-05-22 03:25:44,"0,637s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:25:44,2018-05-22 03:25:44,"0,101s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:44,2018-05-22 03:25:44,"0,062s",PASSED
